station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,alti,mslp,p01i,vsby,gust,skyl1,skyl2,skyl3,wxcodes
BUF,2018-01-01 00:00,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:05,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:10,-78.7358,42.9408,M,M,M,260.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:15,-78.7358,42.9408,M,M,M,260.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:20,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:25,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 00:30,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,4100.00,M,M,M
BUF,2018-01-01 00:35,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,4100.00,M,M,M
BUF,2018-01-01 00:40,-78.7358,42.9408,M,M,M,250.00,6.00,30.39,M,M,10.00,M,4100.00,M,M,M
BUF,2018-01-01 00:45,-78.7358,42.9408,M,M,M,240.00,5.00,30.39,M,M,10.00,M,4100.00,M,M,M
BUF,2018-01-01 00:50,-78.7358,42.9408,M,M,M,240.00,5.00,30.39,M,M,10.00,M,4200.00,M,M,M
BUF,2018-01-01 00:54,-78.7358,42.9408,3.90,-2.00,75.92,250.00,5.00,30.39,1031.00,0.00,10.00,M,4200.00,M,M,M
BUF,2018-01-01 00:55,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,4200.00,M,M,M
BUF,2018-01-01 01:00,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:05,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:10,-78.7358,42.9408,M,M,M,240.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:15,-78.7358,42.9408,M,M,M,240.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:20,-78.7358,42.9408,M,M,M,250.00,5.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:25,-78.7358,42.9408,M,M,M,250.00,4.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:30,-78.7358,42.9408,M,M,M,250.00,5.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:35,-78.7358,42.9408,M,M,M,260.00,5.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:40,-78.7358,42.9408,M,M,M,260.00,5.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:45,-78.7358,42.9408,M,M,M,260.00,5.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 01:50,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,3999.00,M,M,M
BUF,2018-01-01 01:54,-78.7358,42.9408,3.00,-4.00,71.95,270.00,5.00,30.38,1030.70,0.00,10.00,M,4000.00,M,M,M
BUF,2018-01-01 01:55,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 02:00,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 02:05,-78.7358,42.9408,M,M,M,270.00,7.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 02:10,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,M,M,M
BUF,2018-01-01 02:15,-78.7358,42.9408,M,M,M,270.00,6.00,30.38,M,M,10.00,M,2300.00,M,M,M
BUF,2018-01-01 02:20,-78.7358,42.9408,M,M,M,260.00,7.00,30.38,M,M,10.00,M,2500.00,3600.00,M,M
BUF,2018-01-01 02:25,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,3600.00,M,M
BUF,2018-01-01 02:30,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,3399.00,M,M
BUF,2018-01-01 02:35,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,3399.00,M,M
BUF,2018-01-01 02:40,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,3399.00,M,M
BUF,2018-01-01 02:45,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2300.00,3399.00,M,M
BUF,2018-01-01 02:50,-78.7358,42.9408,M,M,M,260.00,6.00,30.38,M,M,10.00,M,2400.00,3500.00,M,M
BUF,2018-01-01 02:54,-78.7358,42.9408,3.90,-2.90,72.74,260.00,7.00,30.38,1030.70,0.00,10.00,M,2400.00,3500.00,M,M
BUF,2018-01-01 02:55,-78.7358,42.9408,M,M,M,260.00,7.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:00,-78.7358,42.9408,M,M,M,260.00,7.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:05,-78.7358,42.9408,M,M,M,260.00,7.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:10,-78.7358,42.9408,M,M,M,260.00,8.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:15,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:20,-78.7358,42.9408,M,M,M,260.00,8.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:25,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:30,-78.7358,42.9408,M,M,M,260.00,8.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:35,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:40,-78.7358,42.9408,M,M,M,270.00,7.00,30.38,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:45,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 03:50,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,3000.00,M,M,M
BUF,2018-01-01 03:54,-78.7358,42.9408,3.00,-2.90,75.82,270.00,7.00,30.39,1031.00,0.00,10.00,M,3000.00,M,M,M
BUF,2018-01-01 03:55,-78.7358,42.9408,M,M,M,270.00,6.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:00,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:05,-78.7358,42.9408,M,M,M,270.00,6.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:10,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:15,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:20,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:25,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:30,-78.7358,42.9408,M,M,M,280.00,9.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:35,-78.7358,42.9408,M,M,M,280.00,9.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:40,-78.7358,42.9408,M,M,M,280.00,8.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:45,-78.7358,42.9408,M,M,M,280.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 04:50,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 04:54,-78.7358,42.9408,3.90,-2.00,75.92,270.00,8.00,30.39,1031.10,0.00,10.00,M,3200.00,M,M,M
BUF,2018-01-01 04:55,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:00,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:05,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:10,-78.7358,42.9408,M,M,M,270.00,8.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:15,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:20,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:25,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:30,-78.7358,42.9408,M,M,M,270.00,6.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:35,-78.7358,42.9408,M,M,M,270.00,7.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:40,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:45,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:50,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:54,-78.7358,42.9408,3.00,-0.90,83.36,260.00,7.00,30.39,1031.00,0.00,10.00,M,3200.00,M,M,M
BUF,2018-01-01 05:55,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 06:00,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,8.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:05,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,8.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:10,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:15,-78.7358,42.9408,M,M,M,250.00,7.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:20,-78.7358,42.9408,M,M,M,260.00,6.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:25,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:30,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:35,-78.7358,42.9408,M,M,M,260.00,8.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:40,-78.7358,42.9408,M,M,M,260.00,8.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:45,-78.7358,42.9408,M,M,M,260.00,7.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:50,-78.7358,42.9408,M,M,M,260.00,8.00,30.39,M,M,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:54,-78.7358,42.9408,3.00,-0.90,83.36,260.00,7.00,30.39,1031.20,0.00,10.00,M,3200.00,12000.00,M,M
BUF,2018-01-01 06:55,-78.7358,42.9408,M,M,M,260.00,7.00,30.40,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 07:00,-78.7358,42.9408,M,M,M,260.00,8.00,30.40,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 07:05,-78.7358,42.9408,M,M,M,260.00,7.00,30.40,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 07:10,-78.7358,42.9408,M,M,M,260.00,6.00,30.40,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 07:15,-78.7358,42.9408,M,M,M,260.00,7.00,30.40,M,M,10.00,M,M,M,M,M
BUF,2018-01-01 07:20,-78.7358,42.9408,M,M,M,260.00,6.00,30.40,M,M,10.00,M,2800.00,M,M,M
BUF,2018-01-01 07:25,-78.7358,42.9408,M,M,M,260.00,6.00,30.40,M,M,10.00,M,2800.00,M,M,M
BUF,2018-01-01 07:30,-78.7358,42.9408,M,M,M,260.00,5.00,30.40,M,M,10.00,M,2700.00,M,M,M
BUF,2018-01-01 07:35,-78.7358,42.9408,M,M,M,270.00,5.00,30.40,M,M,10.00,M,2700.00,M,M,M
BUF,2018-01-01 07:40,-78.7358,42.9408,M,M,M,270.00,4.00,30.40,M,M,10.00,M,2700.00,M,M,M
BUF,2018-01-01 07:45,-78.7358,42.9408,M,M,M,260.00,5.00,30.40,M,M,10.00,M,2700.00,M,M,M
BUF,2018-01-01 07:50,-78.7358,42.9408,M,M,M,260.00,6.00,30.40,M,M,7.00,M,1600.00,2700.00,M,M
BUF,2018-01-01 07:54,-78.7358,42.9408,3.00,0.00,86.96,270.00,4.00,30.40,1031.50,0.00,6.00,M,1600.00,2700.00,23000.00,BR
BUF,2018-01-01 07:55,-78.7358,42.9408,M,M,M,270.00,4.00,30.40,M,M,6.00,M,1600.00,2700.00,M,BR
BUF,2018-01-01 08:00,-78.7358,42.9408,M,M,M,270.00,3.00,30.40,M,M,9.00,M,1600.00,2700.00,M,M
BUF,2018-01-01 08:05,-78.7358,42.9408,M,M,M,280.00,4.00,30.40,M,M,10.00,M,1600.00,2700.00,M,M
BUF,2018-01-01 08:10,-78.7358,42.9408,M,M,M,290.00,4.00,30.40,M,M,10.00,M,1600.00,2500.00,M,M
BUF,2018-01-01 08:15,-78.7358,42.9408,M,M,M,290.00,3.00,30.40,M,M,10.00,M,1600.00,2500.00,M,M
BUF,2018-01-01 08:20,-78.7358,42.9408,M,M,M,300.00,3.00,30.40,M,M,10.00,M,1600.00,2500.00,M,M
BUF,2018-01-01 08:24,-78.7358,42.9408,3.00,-0.90,83.36,290.00,3.00,30.39,M,0.00,10.00,M,2500.00,M,M,M
BUF,2018-01-01 08:25,-78.7358,42.9408,M,M,M,280.00,3.00,30.39,M,M,10.00,M,2500.00,M,M,M
