#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2018-01-01 00:00:00+00:00 2018-01-04 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,feel,metar
BUF,2018-01-01 00:00,-78.7358,42.9408,M,M,M,260.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010000Z AUTO 26006KT 10SM CLR M16/M18 A3039 RMK T11601180 MADISHF
ROC,2018-01-01 00:00,-77.6767,43.1167,M,M,M,260.00,7.00,M,30.39,M,2.00,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,M,M,M,M,KROC 010000Z AUTO 26007KT 2SM -SN BR OVC015 M15/M17 A3039 RMK T11501170 MADISHF
IAG,2018-01-01 00:00,-78.9462,43.1073,M,M,M,240.00,5.00,M,30.40,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,KIAG 010000Z AUTO 24005KT 10SM OVC042 M15/M20 A3040 RMK T11501200 MADISHF
DKK,2018-01-01 00:00,-79.2720,42.4933,M,M,M,M,M,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2800.00,3600.00,5000.00,M,M,M,M,M,M,KDKK 010000Z AUTO /////KT 10SM BKN028 BKN036 OVC050 M12/M17 A3040 RMK T11201170 MADISHF
DSV,2018-01-01 00:00,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,M,M,M,3800.00,M,M,M,M,M,M,M,M,KDSV 010000Z AUTO 00000KT 10SM BKN038 M17/M20 A3038 RMK T11701200 MADISHF
FZY,2018-01-01 00:00,-76.3847,43.3497,M,M,M,350.00,8.00,M,30.35,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KFZY 010000Z AUTO 35008KT 10SM CLR M14/M18 A3035 RMK T11401180 MADISHF
ART,2018-01-01 00:00,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010000Z AUTO 00000KT 10SM CLR A3039 RMK MADISHF
ART,2018-01-01 00:05,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010005Z AUTO 00000KT 10SM CLR A3039 RMK MADISHF
BUF,2018-01-01 00:05,-78.7358,42.9408,M,M,M,260.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010005Z AUTO 26006KT 10SM CLR M16/M18 A3039 RMK T11601180 MADISHF
IAG,2018-01-01 00:05,-78.9462,43.1073,M,M,M,250.00,7.00,M,30.40,M,10.00,M,FEW,OVC,M,M,3399.00,4200.00,M,M,M,M,M,M,M,KIAG 010005Z AUTO 25007KT 10SM FEW033 OVC042 M15/M20 A3040 RMK T11501200 MADISHF
DSV,2018-01-01 00:05,-77.7130,42.5709,M,M,M,130.00,3.00,M,30.38,M,10.00,M,BKN,M,M,M,3800.00,M,M,M,M,M,M,M,M,KDSV 010005Z AUTO 13003KT 10SM BKN038 M18/M21 A3038 RMK T11801210 MADISHF
DKK,2018-01-01 00:05,-79.2720,42.4933,M,M,M,330.00,9.00,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2800.00,3399.00,5000.00,M,M,M,M,M,M,KDKK 010005Z AUTO 33009KT 10SM BKN028 BKN033 OVC050 M12/M17 A3040 RMK T11201170 MADISHF
