#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2018-01-02 00:00:00+00:00 2018-01-04 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,alti,mslp,p01i,vsby,gust,skyl1,skyl2,skyl3,wxcodes
ART,2018-01-02 00:00,-76.0262,43.9888,M,M,M,0.00,0.00,30.24,M,M,3.00,M,4800.00,7000.00,M,BR
ART,2018-01-02 00:05,-76.0262,43.9888,M,M,M,0.00,0.00,30.24,M,M,3.00,M,5500.00,7000.00,M,-SN BR
ART,2018-01-02 00:15,-76.0262,43.9888,M,M,M,0.00,0.00,30.24,M,M,5.00,M,6000.00,7500.00,M,BR
ART,2018-01-02 00:20,-76.0262,43.9888,M,M,M,0.00,0.00,30.24,M,M,7.00,M,6000.00,M,M,M
ART,2018-01-02 00:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.24,M,M,6.00,M,6000.00,M,M,BR
ART,2018-01-02 00:35,-76.0262,43.9888,M,M,M,190.00,3.00,30.24,M,M,2.00,M,5500.00,M,M,-SN BR
ART,2018-01-02 00:38,-76.0262,43.9888,1.90,-0.90,87.72,0.00,0.00,30.24,M,0.0001,2.50,M,5500.00,M,M,-SN BR
ART,2018-01-02 00:40,-76.0262,43.9888,M,M,M,210.00,3.00,30.24,M,M,3.00,M,5500.00,M,M,-SN BR
ART,2018-01-02 00:45,-76.0262,43.9888,M,M,M,230.00,5.00,30.24,M,M,6.00,M,5500.00,M,M,BR
ART,2018-01-02 00:46,-76.0262,43.9888,3.00,0.00,86.96,240.00,5.00,30.24,M,0.0001,7.00,M,5500.00,M,M,M
ART,2018-01-02 00:55,-76.0262,43.9888,M,M,M,240.00,5.00,30.24,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 00:56,-76.0262,43.9888,5.00,1.00,83.12,250.00,7.00,30.24,1026.00,0.0001,10.00,M,5000.00,M,M,M
ART,2018-01-02 01:00,-76.0262,43.9888,M,M,M,260.00,7.00,30.24,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 01:10,-76.0262,43.9888,M,M,M,270.00,9.00,30.24,M,M,10.00,M,5000.00,9000.00,M,M
ART,2018-01-02 01:15,-76.0262,43.9888,M,M,M,280.00,8.00,30.25,M,M,10.00,M,5000.00,7000.00,9000.00,M
ART,2018-01-02 01:20,-76.0262,43.9888,M,M,M,300.00,8.00,30.25,M,M,10.00,M,5500.00,7000.00,9000.00,M
ART,2018-01-02 01:30,-76.0262,43.9888,M,M,M,330.00,7.00,30.26,M,M,10.00,M,5500.00,7999.00,M,M
ART,2018-01-02 01:35,-76.0262,43.9888,M,M,M,320.00,5.00,30.26,M,M,10.00,M,2800.00,5500.00,7999.00,M
ART,2018-01-02 01:40,-76.0262,43.9888,M,M,M,300.00,5.00,30.26,M,M,10.00,M,3000.00,5500.00,7999.00,M
ART,2018-01-02 01:50,-76.0262,43.9888,M,M,M,270.00,4.00,30.27,M,M,10.00,M,2400.00,3800.00,7999.00,M
ART,2018-01-02 01:55,-76.0262,43.9888,M,M,M,280.00,5.00,30.27,M,M,10.00,M,2400.00,3800.00,7999.00,M
ART,2018-01-02 01:56,-76.0262,43.9888,-0.90,-4.00,86.31,280.00,5.00,30.27,1026.90,0.00,10.00,M,2400.00,3800.00,8000.00,M
ART,2018-01-02 02:00,-76.0262,43.9888,M,M,M,280.00,5.00,30.27,M,M,10.00,M,2400.00,3800.00,7999.00,M
ART,2018-01-02 02:05,-76.0262,43.9888,M,M,M,270.00,4.00,30.27,M,M,9.00,M,2400.00,3000.00,3600.00,M
ART,2018-01-02 02:10,-76.0262,43.9888,M,M,M,280.00,5.00,30.28,M,M,7.00,M,2600.00,3800.00,M,M
ART,2018-01-02 02:15,-76.0262,43.9888,M,M,M,290.00,5.00,30.28,M,M,6.00,M,2600.00,3999.00,M,BR
ART,2018-01-02 02:25,-76.0262,43.9888,M,M,M,270.00,4.00,30.29,M,M,6.00,M,2800.00,4100.00,4900.00,BR
ART,2018-01-02 02:30,-76.0262,43.9888,M,M,M,290.00,4.00,30.29,M,M,6.00,M,2800.00,4100.00,4900.00,BR
ART,2018-01-02 02:35,-76.0262,43.9888,M,M,M,280.00,4.00,30.29,M,M,7.00,M,2800.00,4700.00,M,M
ART,2018-01-02 02:45,-76.0262,43.9888,M,M,M,280.00,4.00,30.29,M,M,9.00,M,3300.00,4900.00,M,M
ART,2018-01-02 02:50,-76.0262,43.9888,M,M,M,270.00,4.00,30.30,M,M,10.00,M,3300.00,4900.00,M,M
ART,2018-01-02 02:55,-76.0262,43.9888,M,M,M,270.00,4.00,30.30,M,M,10.00,M,3300.00,4900.00,M,M
ART,2018-01-02 02:56,-76.0262,43.9888,-0.90,-4.00,86.31,270.00,4.00,30.30,1027.70,0.00,10.00,M,3300.00,4900.00,M,M
ART,2018-01-02 03:05,-76.0262,43.9888,M,M,M,270.00,3.00,30.30,M,M,10.00,M,3300.00,4900.00,M,M
ART,2018-01-02 03:10,-76.0262,43.9888,M,M,M,270.00,3.00,30.31,M,M,10.00,M,3399.00,4900.00,M,M
ART,2018-01-02 03:15,-76.0262,43.9888,M,M,M,290.00,3.00,30.31,M,M,10.00,M,4900.00,M,M,M
ART,2018-01-02 03:25,-76.0262,43.9888,M,M,M,330.00,5.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:30,-76.0262,43.9888,M,M,M,300.00,4.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:35,-76.0262,43.9888,M,M,M,300.00,5.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:40,-76.0262,43.9888,M,M,M,310.00,4.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:45,-76.0262,43.9888,M,M,M,300.00,3.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:50,-76.0262,43.9888,M,M,M,0.00,0.00,30.32,M,M,10.00,M,5000.00,M,M,M
ART,2018-01-02 03:56,-76.0262,43.9888,-2.90,-5.10,90.01,0.00,0.00,30.32,1028.40,0.00,10.00,M,5000.00,M,M,M
ART,2018-01-02 04:00,-76.0262,43.9888,M,M,M,0.00,0.00,30.32,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:05,-76.0262,43.9888,M,M,M,0.00,0.00,30.33,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:10,-76.0262,43.9888,M,M,M,220.00,3.00,30.33,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:20,-76.0262,43.9888,M,M,M,220.00,3.00,30.33,M,M,10.00,M,6000.00,M,M,M
ART,2018-01-02 04:25,-76.0262,43.9888,M,M,M,230.00,3.00,30.33,M,M,10.00,M,6000.00,M,M,M
ART,2018-01-02 04:30,-76.0262,43.9888,M,M,M,270.00,3.00,30.33,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:40,-76.0262,43.9888,M,M,M,0.00,0.00,30.33,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:45,-76.0262,43.9888,M,M,M,0.00,0.00,30.33,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:50,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,5500.00,M,M,M
ART,2018-01-02 04:56,-76.0262,43.9888,-9.00,-11.00,90.61,0.00,0.00,30.34,1029.00,0.00,10.00,M,5500.00,M,M,M
ART,2018-01-02 05:00,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:05,-76.0262,43.9888,M,M,M,250.00,3.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:15,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:20,-76.0262,43.9888,M,M,M,280.00,3.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:30,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:35,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:40,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:50,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:55,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 05:56,-76.0262,43.9888,-15.00,-18.00,85.82,0.00,0.00,30.35,1029.40,0.00,10.00,M,M,M,M,M
ART,2018-01-02 06:05,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:10,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:15,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:20,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:21,-76.0262,43.9888,-18.00,-22.00,81.25,0.00,0.00,30.35,M,0.00,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:30,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:40,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:45,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:50,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:55,-76.0262,43.9888,M,M,M,90.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 06:56,-76.0262,43.9888,-15.00,-20.00,77.40,90.00,3.00,30.35,1029.30,0.00,10.00,M,1800.00,M,M,M
ART,2018-01-02 07:00,-76.0262,43.9888,M,M,M,100.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 07:05,-76.0262,43.9888,M,M,M,100.00,3.00,30.35,M,M,10.00,M,1900.00,M,M,M
ART,2018-01-02 07:10,-76.0262,43.9888,-17.00,-20.90,81.77,130.00,3.00,30.35,M,0.00,10.00,M,1900.00,M,M,M
ART,2018-01-02 07:15,-76.0262,43.9888,M,M,M,150.00,3.00,30.36,M,M,10.00,M,1900.00,M,M,M
ART,2018-01-02 07:20,-76.0262,43.9888,M,M,M,160.00,3.00,30.36,M,M,10.00,M,1900.00,M,M,M
ART,2018-01-02 07:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.36,M,M,10.00,M,M,M,M,M
ART,2018-01-02 07:35,-76.0262,43.9888,M,M,M,200.00,3.00,30.36,M,M,10.00,M,M,M,M,M
ART,2018-01-02 07:40,-76.0262,43.9888,M,M,M,190.00,3.00,30.37,M,M,10.00,M,M,M,M,M
ART,2018-01-02 07:45,-76.0262,43.9888,M,M,M,190.00,4.00,30.37,M,M,10.00,M,M,M,M,M
ART,2018-01-02 07:55,-76.0262,43.9888,M,M,M,200.00,3.00,30.37,M,M,10.00,M,1900.00,M,M,M
ART,2018-01-02 07:56,-76.0262,43.9888,-17.00,-20.90,81.77,190.00,3.00,30.37,1030.00,0.00,10.00,M,1900.00,M,M,M
ART,2018-01-02 08:00,-76.0262,43.9888,M,M,M,0.00,0.00,30.37,M,M,10.00,M,1900.00,M,M,M
ART,2018-01-02 08:05,-76.0262,43.9888,M,M,M,220.00,3.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:08,-76.0262,43.9888,-20.00,-23.10,85.03,230.00,3.00,30.38,M,0.00,10.00,M,2000.00,M,M,M
ART,2018-01-02 08:15,-76.0262,43.9888,M,M,M,0.00,0.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:20,-76.0262,43.9888,M,M,M,0.00,0.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:35,-76.0262,43.9888,M,M,M,60.00,3.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:40,-76.0262,43.9888,M,M,M,80.00,3.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:44,-76.0262,43.9888,-18.90,-22.00,85.11,80.00,3.00,30.37,M,0.00,10.00,M,2000.00,M,M,M
ART,2018-01-02 08:45,-76.0262,43.9888,M,M,M,80.00,3.00,30.37,M,M,10.00,M,1999.00,M,M,M
ART,2018-01-02 08:55,-76.0262,43.9888,M,M,M,60.00,5.00,30.36,M,M,10.00,M,1699.00,M,M,M
ART,2018-01-02 08:56,-76.0262,43.9888,-18.00,-20.90,86.06,70.00,6.00,30.36,1029.70,0.00,10.00,M,1700.00,M,M,M
ART,2018-01-02 09:00,-76.0262,43.9888,M,M,M,70.00,5.00,30.36,M,M,10.00,M,1699.00,M,M,M
ART,2018-01-02 09:05,-76.0262,43.9888,M,M,M,90.00,4.00,30.36,M,M,10.00,M,1699.00,M,M,M
ART,2018-01-02 09:07,-76.0262,43.9888,-15.00,-18.00,85.82,90.00,4.00,30.36,M,0.00,10.00,M,1700.00,M,M,M
ART,2018-01-02 09:10,-76.0262,43.9888,M,M,M,80.00,4.00,30.36,M,M,10.00,M,1699.00,M,M,M
ART,2018-01-02 09:15,-76.0262,43.9888,M,M,M,110.00,4.00,30.35,M,M,10.00,M,1699.00,M,M,M
ART,2018-01-02 09:20,-76.0262,43.9888,M,M,M,120.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:30,-76.0262,43.9888,M,M,M,120.00,4.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:35,-76.0262,43.9888,M,M,M,120.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:40,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:45,-76.0262,43.9888,M,M,M,110.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:50,-76.0262,43.9888,M,M,M,80.00,3.00,30.35,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:52,-76.0262,43.9888,-16.60,-20.20,83.09,70.00,4.00,30.34,M,0.00,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:55,-76.0262,43.9888,M,M,M,70.00,4.00,30.34,M,M,10.00,M,1800.00,M,M,M
ART,2018-01-02 09:56,-76.0262,43.9888,-17.00,-20.90,81.77,60.00,4.00,30.34,1029.20,0.00,10.00,M,1800.00,M,M,M
ART,2018-01-02 10:05,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 10:10,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 10:15,-76.0262,43.9888,M,M,M,0.00,0.00,30.34,M,M,10.00,M,M,M,M,M
ART,2018-01-02 10:25,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 10:30,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,M,M,M,M
ART,2018-01-02 10:35,-76.0262,43.9888,M,M,M,0.00,0.00,30.35,M,M,10.00,M,1400.00,M,M,M
